Language,nx,nt,kvol,npx,npt,nthreads,Time,Trajectory Time
C,8,16,256,2,4,1,5534.894087,110.697882
Fort,8,16,256,3,4,1,7462.44711165875,149.248942233175     
C,12,16,256,3,4,1,13347.019856,266.940397
Fort,12,16,256,3,4,1,1545290144,315.3653355,TIMED OUT ON FINAL TRAJECTORY
C,16,16,256,4,4,1,15777.314986,315.546300
Fort,16,16,256,4,4,1,19195.1734321937,383.903468643874     
C,16,32,256,4,8,1,17210.672290,344.213446
C,16,32,512,4,4,1,3469.512303,115.650410
C,16,32,4096,2,4,1,46176.783198,1539.226107
C,16,32,8192,2,2,1,82582.923664,2752.764122
Fort,16,32,256,4,8,1,11683.1091319062,389.436971063539     
